Gender,Presence of Two or More Speakers,BACKGROUND NOISE (Noise/Echo/Static/Music/Studio Audience),pitch_min(min),diff( pitch),In_min(min),diff (intensity),WER-Amazon
,,,,,,,
,,,,,,,
0,0,0,75.0259458,522.7832504,31.74816316,47.01369638,1
,,,,,,,
1,0,0,77.35335936,511.2918921,48.39330586,31.02501555,1
,,,,,,,
0,0,5,85.29207499,502.4175019,8.39689163,75.23593808,0
,,,,,,,
1,0,5,75.4086381,514.4164669,42.25993337,38.25702655,0
,,,,,,,
1,0,10,75.77827876,520.6244026,31.10734384,47.96412848,0
,,,,,,,
0,0,5,80.07662348,137.6692222,39.3706701,42.02266829,0
,,,,,,,
1,0,10,76.18763762,505.8798823,45.63151199,34.16190691,1
,,,,,,,
0,0,1,76.95608657,508.2818282,27.18337053,55.12041422,1
,,,,,,,
1,0,0,76.83809057,458.8322045,34.99978893,48.7143751,1
,,,,,,,
1,0,0,76.17518158,493.8121569,41.51086468,39.49300076,1
,,,,,,,
1,0,2,75.1532576,511.3613429,30.6206001,45.56263654,0
,,,,,,,
1,0,0,77.7094645,519.5013842,32.38948233,45.7986791,1
,,,,,,,
0,0,0,79.05630772,297.5137151,39.38614748,38.99461871,1
,,,,,,,
0,0,10,76.57340162,437.1351713,29.86810863,49.89186318,0
,,,,,,,
0,0,0,75.01543077,508.057142,37.19364169,43.49897034,0
,,,,,,,
2,0,4,76.20755013,522.3273361,29.79927351,50.66487835,1
,,,,,,,
0,0,0,75.01932253,499.8038189,33.64746727,46.94729468,0
,,,,,,,
2,0,11,75.77873135,496.2385469,25.39633484,53.85597295,0
,,,,,,,
1,0,2,75.09658699,487.0311857,33.47401541,45.94654745,1
,,,,,,,
1,0,0,76.12919315,512.4991103,40.69990242,40.85992088,1
,,,,,,,
2,0,0,75.06888105,468.2852968,38.41014266,40.95142463,0
,,,,,,,
0,0,12,82.32257987,330.3323089,45.06898421,33.12444433,0
,,,,,,,
0,0,1,75.50612731,523.9603552,31.47009081,46.5092516,0
,,,,,,,
1,0,0,75.01065207,496.4885767,26.24195529,54.17582316,1
,,,,,,,
0,0,13,74.99708442,432.2622962,42.55905087,35.38140486,1
,,,,,,,
0,0,14,75.34129344,523.8639247,35.13237237,47.82610344,0
,,,,,,,
1,0,15,105.0785715,473.3188463,45.63109259,31.3345926,0
,,,,,,,
2,0,0,75.61782381,523.1002418,38.01484506,41.24808147,1
,,,,,,,
0,0,0,76.28622607,467.5102657,29.94619707,47.06009894,1
,,,,,,,
2,0,0,75.35677294,520.5300184,43.73079954,33.2702142,1
,,,,,,,
2,0,16,77.35230045,456.9059254,42.44782315,34.81578943,0
,,,,,,,
2,0,17,83.7002487,268.307279,32.00928113,51.46177461,1
,,,,,,,
0,0,0,84.48156913,513.1047648,39.67813863,42.15300999,0
,,,,,,,
0,0,1,75.14790765,519.9558617,34.47339823,49.0574919,1
,,,,,,,
1,0,0,75.10839024,518.6349525,31.72561903,49.99496868,1
,,,,,,,
2,0,0,95.47076733,491.6066429,25.64907462,58.16023013,0
,,,,,,,
1,0,0,77.33105781,501.8479651,24.33756051,54.17336718,1
,,,,,,,
0,0,18,78.71615762,496.2933458,44.23990879,36.89068329,1
,,,,,,,
0,0,17,75.07138204,520.5862998,42.20749757,36.24245926,1
,,,,,,,
1,0,2,77.32967484,454.0690273,39.52726856,39.72778163,1
,,,,,,,
1,0,10,135.9005268,388.3408876,24.4197379,52.26738238,0
,,,,,,,
2,0,19,75.46030172,477.7693923,41.20537129,38.45362242,1
,,,,,,,
2,0,1,80.98144738,469.1058834,26.86144758,52.29877912,0
,,,,,,,
1,0,0,75.93393364,512.3874824,29.12112514,52.64542738,1
,,,,,,,
1,0,0,78.68088661,75.1471011,19.46675113,61.13787241,0
,,,,,,,
0,0,0,75.04834435,497.6391528,28.87044309,48.62766765,1
,,,,,,,
1,0,0,75.05355734,517.3262084,34.44545097,46.1284582,1
,,,,,,,
0,0,4,76.89005863,522.0482731,54.16623212,22.56647826,1
,,,,,,,
1,0,0,75.11284607,449.7322476,39.88583218,39.46151121,0
,,,,,,,
1,0,2,75.24198064,213.3855658,41.12932439,37.29374292,1
,,,,,,,
0,0,10,77.09114436,480.1007867,25.90794754,57.18705929,1
,,,,,,,
2,0,2,84.37444593,513.904304,46.3721106,32.94133602,0
,,,,,,,
2,0,1,75.17877047,520.6666934,39.14519398,40.53500231,0
,,,,,,,
2,0,10,80.93153721,516.5902723,41.26461717,35.64096322,1
,,,,,,,
1,0,1,76.9279278,503.3214476,30.85396773,47.46123702,1
,,,,,,,
0,0,4,77.85160521,476.7290714,42.02739242,34.97126785,1
,,,,,,,
0,0,0,75.1423017,509.0408715,40.51323459,43.97410492,1
,,,,,,,
1,0,0,74.99148001,464.0206527,34.03040027,45.19698232,1
,,,,,,,
1,0,1,78.93286573,514.64398,33.59584836,48.79997375,1
,,,,,,,
1,0,6,76.19467018,496.9869149,27.22974965,52.76090379,1
,,,,,,,
1,0,0,82.13805385,503.8495743,40.22372368,37.32120113,0
,,,,,,,
0,0,0,75.30525076,495.5998201,41.37027065,38.5597209,1
,,,,,,,
2,0,14,75.2108045,467.8574717,40.80094091,37.99788911,1
,,,,,,,
2,0,0,74.99801204,177.7287218,41.21215924,37.31618552,0
,,,,,,,
1,0,5,86.24766333,513.4200739,30.45048556,48.99717947,0
,,,,,,,
1,0,12,75.53660726,437.6270669,42.37316749,34.28280849,0
,,,,,,,
1,0,13,76.86701018,198.5481535,23.86625094,55.55611334,0
,,,,,,,
1,0,1,75.4881689,497.5542354,37.64163855,42.36366554,0
,,,,,,,
2,0,0,110.2550046,489.0279914,20.87720708,57.79126283,0
,,,,,,,
0,0,12,81.39759043,518.2590421,40.57614521,35.58574776,1
,,,,,,,
1,0,2,88.13050601,288.285641,34.15755987,46.310075,1
,,,,,,,
1,0,0,75.27174666,463.1497633,45.43652953,38.71846824,1
,,,,,,,
0,0,2,79.58451488,460.7469627,41.5675272,38.8136078,1
,,,,,,,
2,0,2,76.44140268,510.5307488,40.94341995,38.97689961,0
,,,,,,,
2,0,0,75.49577172,501.7422245,26.89686137,51.83917468,1
,,,,,,,
0,0,1,75.12839176,410.0106345,19.53971044,62.06899908,1
,,,,,,,
1,0,0,75.39028127,523.4166152,41.71131564,39.03601138,1
,,,,,,,
0,0,0,74.99216018,515.6473741,35.78933105,44.69267881,1
,,,,,,,
0,0,0,85.29173261,244.2576441,28.49515595,49.24964999,0
,,,,,,,
1,0,1,79.0196089,520.8487772,41.34797718,36.08703702,0
,,,,,,,
1,0,9,77.02900446,468.3310141,40.49128397,40.41485493,0
,,,,,,,
1,1,0,75.06331848,474.7352326,39.37830516,41.15887911,0
,,,,,,,
2,0,5,76.58957056,460.6203095,44.38638848,34.56087291,0
,,,,,,,
0,0,11,77.1863226,439.6251906,32.80341508,44.95690112,0
,,,,,,,
1,0,0,75.16047454,144.5479348,46.22726961,36.70063531,0
,,,,,,,
1,0,10,77.47050548,516.2699982,29.53099623,49.88835092,1
,,,,,,,
1,0,4,76.59979416,458.6365579,50.44205898,26.65807283,0
,,,,,,,
1,0,10,80.19933799,247.6914006,38.94383744,40.70030926,1
,,,,,,,
1,0,0,78.93292567,419.3139195,37.9734125,43.87220453,1
,,,,,,,
0,0,0,75.21594597,513.8315336,36.3456707,43.35741878,0
,,,,,,,
0,0,0,75.24130197,502.0259198,27.2857504,51.55799999,1
,,,,,,,
2,0,0,75.19687115,481.8154101,28.28918037,54.43006541,0
,,,,,,,
0,0,4,75.0115843,521.8063567,32.01917731,46.18893829,0
,,,,,,,
0,0,0,75.5028174,445.7651732,38.87863367,43.83579318,1
,,,,,,,
1,0,0,76.82521138,466.9826879,32.40313225,47.95934635,0
,,,,,,,
1,0,1,78.72741769,448.4358245,28.6143535,47.92539971,0
,,,,,,,
2,0,0,75.0355788,399.292483,37.43392892,44.32267183,1
,,,,,,,
0,0,0,75.07045273,472.6779332,30.99113933,49.56754354,0
,,,,,,,
1,0,5,75.69650239,519.3966373,42.13411862,36.17692429,1
,,,,,,,
1,0,0,79.10668485,516.6698879,36.22475605,43.79209609,0
,,,,,,,
2,0,1,77.45842816,170.7658923,29.40329624,55.41991639,1
,,,,,,,
1,0,1,76.57521748,514.882627,40.74682711,39.93672559,1
,,,,,,,
0,0,0,76.55728854,521.7133839,34.28729819,45.00759788,1
,,,,,,,
0,0,0,75.24405177,506.8193411,30.87128299,45.6415921,1
,,,,,,,
2,0,4,80.04171385,474.7516499,35.30957327,41.39146495,0
,,,,,,,
1,0,0,76.59004886,521.3731625,30.40314602,49.85851677,1
,,,,,,,
1,0,0,78.47619651,453.8922398,42.33896587,35.26812637,0
,,,,,,,
2,0,4,75.47547566,504.2705025,28.35636722,53.82873345,1
,,,,,,,
1,0,9,82.24507429,318.456519,48.5839211,28.40062439,0
,,,,,,,
1,0,0,77.06704557,366.2625215,36.7687602,41.31165832,0
,,,,,,,
1,1,0,83.10164203,446.8950292,32.52544401,46.34430746,0
,,,,,,,
1,0,0,75.02056278,512.0731724,40.42372863,39.72915294,0
,,,,,,,
1,0,0,75.00129921,514.2394668,35.19365684,42.17632533,0
,,,,,,,
2,0,0,102.0455158,284.8956302,29.98064927,48.56159133,0
,,,,,,,
1,0,0,75.47860374,477.9206676,35.17418024,45.85026663,0
,,,,,,,
0,0,0,75.0475058,466.9124751,29.96624591,51.91151953,1
,,,,,,,
1,0,0,76.90852478,522.4061984,41.04073394,42.87876494,0
,,,,,,,
0,0,0,75.02765595,503.6074058,30.69088166,45.28650715,0
,,,,,,,
0,0,0,77.87053417,495.1091149,44.34421406,33.78560711,0
,,,,,,,
1,0,1,88.12402042,497.1561695,22.42855594,59.23817895,0
,,,,,,,
0,0,0,80.85413772,509.8564767,28.95836172,52.55730902,0
,,,,,,,
1,0,0,76.58462448,503.7159461,36.70249933,39.6797753,0
,,,,,,,
2,0,0,75.06048616,446.7223678,33.0034996,44.77513129,0
,,,,,,,
1,0,0,75.3220066,518.4929236,40.74718492,38.52806936,1
,,,,,,,
1,0,1,92.49501498,454.8612284,-300,380.8276475,1
,,,,,,,
1,0,0,77.72001486,494.4864773,39.91068138,40.63881978,1
,,,,,,,
1,0,1,78.2762718,495.4780251,30.91683375,47.5600246,1
,,,,,,,
1,0,0,79.94127193,421.7298896,21.70507738,61.48709891,1
,,,,,,,
1,0,1,78.02630708,437.0898752,36.56176317,42.29149174,0
,,,,,,,
0,0,4,75.94969398,412.8725437,28.74807796,47.20287459,1
,,,,,,,
2,0,11,75.06880119,519.8887574,32.382704,46.921027,1
,,,,,,,
0,0,0,82.77884526,331.8903988,32.76087118,54.17695952,0
,,,,,,,
1,0,0,91.62857591,484.3250993,39.43633042,40.44411048,0
,,,,,,,
2,0,1,76.33944107,515.4268452,44.24499853,32.81443816,0
,,,,,,,
0,0,0,75.05454038,320.0521023,36.0935856,44.67493878,1
,,,,,,,
0,0,0,74.99714484,473.9476545,43.14765147,37.70049538,1
,,,,,,,
1,0,5,75.43534083,357.9611727,25.50296286,55.90058045,0
,,,,,,,
0,0,0,88.87946673,462.4047064,36.70490264,44.13677458,0
,,,,,,,
1,0,0,85.50882116,509.7647534,31.89323451,48.10360267,1
,,,,,,,
1,0,0,75.07099221,490.0918908,42.41422007,41.87400048,0
,,,,,,,
1,0,1,77.99031963,516.0130258,37.04034593,45.2300271,0
,,,,,,,
2,0,0,75.00882241,507.6346134,42.0077535,38.18552935,0
,,,,,,,
1,0,0,75.7670056,459.4098278,41.31751069,35.13281256,0
,,,,,,,
0,0,1,89.5764337,335.1584191,26.8774513,53.11237644,0
,,,,,,,
0,0,0,75.05378621,500.5533647,29.50514697,50.06578378,0
,,,,,,,
2,1,1,75.12363195,511.8296011,49.02748121,30.02813854,0
,,,,,,,
0,0,0,75.03739297,292.9847835,51.17442664,30.98970551,1
,,,,,,,
2,0,10,75.26655863,431.9702776,43.66940889,37.45382426,1
,,,,,,,
0,0,1,75.63667162,518.9904066,51.32745652,24.65790636,0
,,,,,,,
1,0,4,75.46458867,517.7016513,32.61273915,44.28677602,1
,,,,,,,
0,0,4,80.28987092,258.3242122,36.60830649,44.38476666,0
,,,,,,,
2,0,1,91.70125861,485.5364623,35.66344755,44.90606589,0
,,,,,,,
1,0,0,75.23365196,482.6499493,29.06895626,51.39132084,1
,,,,,,,
1,0,0,75.17423942,524.5945371,47.87700173,34.32029955,0
,,,,,,,
1,0,0,75.07647759,465.5158054,36.86579171,46.44228481,1
,,,,,,,
0,0,0,74.99819103,523.4155745,30.38924466,51.19813922,0
,,,,,,,
0,0,0,89.64438716,399.4942841,39.27921614,37.90630238,1
,,,,,,,
1,0,0,75.65671118,177.8752235,43.52617537,35.29245104,1
,,,,,,,
1,0,0,77.21250768,511.3333499,40.23197283,36.94056382,0
,,,,,,,
1,1,0,76.12258989,489.3977575,35.36701382,43.97741211,0
,,,,,,,
0,0,0,75.43653378,434.3400758,39.72188214,40.13766781,0
,,,,,,,
1,0,0,95.09323939,445.4598175,-300,378.2857264,1
,,,,,,,
0,0,9,78.01990916,510.2646389,23.59957063,58.09260077,1
,,,,,,,
1,0,0,75.22132771,516.9879883,27.66195246,55.54329965,0
,,,,,,,
1,0,0,98.0481473,498.7827515,41.50821071,38.31458434,1
,,,,,,,
0,0,1,80.43887737,514.256194,45.95945208,36.92763966,0
,,,,,,,
1,0,0,75.00383405,271.6200948,38.06972847,41.50221244,1
,,,,,,,
2,0,8,79.62778448,516.6899445,28.3144534,48.60587558,1
,,,,,,,
2,0,1,76.94263519,514.2003424,39.59101378,41.55221623,1
,,,,,,,
1,0,0,75.12607931,522.3316338,38.25380492,42.17049619,1
,,,,,,,
1,0,0,75.34564071,494.6555443,44.0023364,37.09698604,0
,,,,,,,
1,0,0,75.78682828,511.1338424,33.65563004,44.09336042,1
,,,,,,,
0,0,1,75.09326164,508.5937638,39.47390251,43.35153369,0
,,,,,,,
2,0,0,77.66083334,503.3688024,28.7102306,50.16671783,1
,,,,,,,
1,0,1,75.03103757,513.7969134,37.25022371,41.01585149,1
,,,,,,,
1,0,0,81.97225564,289.7458009,40.05584664,37.06562191,1
,,,,,,,
1,0,1,76.03703198,481.215065,32.75240331,47.36513598,1
,,,,,,,
1,0,0,76.28751261,519.7766054,15.59051744,62.0889461,1
,,,,,,,
0,0,2,75.57482026,417.8318505,40.43828396,36.47536479,0
,,,,,,,
1,0,0,75.20274781,483.3953979,44.87330514,36.43906981,1
,,,,,,,
0,0,0,75.19642944,523.8228897,39.50286965,38.7801333,0
,,,,,,,
1,0,0,77.06112228,112.5815136,36.29136725,44.89473132,1
,,,,,,,
1,0,0,76.000913,273.8784949,40.31726969,39.62048143,0
,,,,,,,
1,1,7,75.12087766,247.9782954,27.38540258,50.35801723,0
,,,,,,,
0,0,6,74.99235929,207.7213118,37.13571744,42.3362287,0
,,,,,,,
0,0,0,75.00290735,509.5612705,21.26610791,59.72325823,1
,,,,,,,
1,1,0,75.67419389,499.7294441,36.47127051,40.70864065,1
,,,,,,,
1,0,0,76.8348521,470.687256,30.88791847,48.38747098,0
,,,,,,,
1,0,1,80.71216749,286.5746567,48.41154946,29.54512745,0
,,,,,,,
0,0,0,75.18046662,411.0306973,34.96903172,46.34250844,0
,,,,,,,
0,1,0,75.34974204,433.7747562,39.29680158,38.81907859,0
,,,,,,,
1,0,5,76.27382569,517.0745738,23.27475744,56.03756217,0
,,,,,,,
0,1,1,75.00354482,472.1944206,51.09771105,28.44820162,0
,,,,,,,
0,0,0,75.77892028,422.2994404,36.93679227,40.62742116,0
,,,,,,,
0,0,0,76.52483629,520.0377232,35.05739146,43.0918853,0
,,,,,,,
2,0,4,89.47570767,323.6237324,37.66628531,39.5832332,1
,,,,,,,
0,0,3,75.40649671,465.2819623,34.76784605,43.30674435,0
,,,,,,,
0,0,2,75.32677822,515.123815,33.6883723,45.02530107,0
,,,,,,,
1,0,1,75.18471382,512.6445936,33.53058196,45.75849086,0
,,,,,,,
0,0,0,75.15596661,82.93896953,44.02135536,32.99629465,0